Project_ID,Emirate,Project_Name,Type_of_Work,Contractor,Start_Date,End_Date,Actual_End_Date,Task_Status,Budget,Cost,Cost_Variance,Labor_Hours
PRJ-UAE-352,Dubai,"Cars Vehicle Testing Center , Al Mamzar ,Dubai",Epoxy Floor Coating System,Vendor B,13/01/2021,16/02/2021,04/03/2021,Completed,1004281,1210445.11,206164.11,2415
PRJ-UAE-210,Fujairah,Modification of Exisitng Parking for Ministry of Presidential Affairs,Maintenance,Vendor A,13/01/2021,27/03/2021,26/03/2021,Completed,464511,427803.02,-36707.98,1262
PRJ-UAE-110,Abu Dhabi,E198 Diwan Building Helipad System Madinat Zayed Al Dhafra  Region,Hand Marking TP,Vendor G,13/01/2021,31/03/2021,10/04/2021,Completed,1902999,1781843.97,-121155.03,1331
PRJ-UAE-775,UAQ,Pathway Marking Inside Dynagraph Factory,Sand Blasting,Vendor F,14/01/2021,19/03/2021,19/03/2021,Completed,209411,211796.22,2385.22,140
PRJ-UAE-441,,G+3 Building at Al Barsha - Dubai,Sand Blasting,Vendor A,14/01/2021,17/02/2021,26/02/2021,Completed,2154009,2160329.89,6320.89,2151
PRJ-UAE-211,Sharjah,Construction of Mosque at Plot No 998-Sharjah (DJ 455),Machine Marking TP,Vendor B,14/01/2021,08/02/2021,19/02/2021,Completed,608038,612422.77,4384.77,2410
PRJ-UAE-415,Abu Dhabi,Management & Treatment of Medical and Hazardous Wastes in Abu Dhabi & Dhafra Area,Cleaning,Vendor F,14/01/2021,19/02/2021,17/02/2021,Completed,2212092,2581699.58,369607.58,2054
PRJ-UAE-692,Ajman,"Proposed Bridge for Driving Testing Manama 12, Plot No.0023 -Ajman",Cleaning,Vendor G,16/01/2021,19/03/2021,15/03/2021,Completed,940192,1923102.03,982910.03,957
PRJ-UAE-373,RAK,CMW-17068-C001 (ICAD AREA),Premarking,Vendor C,16/01/2021,04/04/2021,04/04/2021,Completed,903301,838198.57,-65102.43,1803
PRJ-UAE-480,Sharjah,R1266D -Upgrade the internal roads in Kalba City-Package-1,Maintenance,Vendor G,16/01/2021,09/04/2021,23/04/2021,Completed,1483428,1696057.78,212629.78,1972
PRJ-UAE-613,Fujairah,Nakheel Al Habab,Maintenance,Vendor C,16/01/2021,18/02/2021,18/02/2021,Completed,587383,717204.9,129821.9,302
PRJ-UAE-118,Sharjah,"R1823 - Proposed Internal Roads in Al Rahamaniya Suburb, Kshisha-2, Sharjah - UAE",  Maintenance   ,Vendor G,17/01/2021,04/03/2021,03/03/2021,Completed,1493946,1408863.12,-85082.88,1788
PRJ-UAE-866,Abu Dhabi,Abu Dhabi Corniche - Al Bahar Road Marking,Maintenance,Vendor F,18/01/2021,16/03/2021,01/04/2021,Completed,2285855,2334664.26,48809.26,1399
PRJ-UAE-411,Dubai,Umm  Suqeim -3  Dubai Police Academy,Epoxy Floor Coating System,Vendor B,19/01/2021,29/03/2021,26/03/2021,Completed,836098,1037965.63,201867.63,804
PRJ-UAE-169,Abu Dhabi,"Zonescope, Musaffah - Abu Dhabi",Cleaning,Vendor B,19/01/2021,05/03/2021,16/03/2021,Completed,1627158,1674246.79,47088.79,2355
PRJ-UAE-224,Ajman,CT2 Area Development - Temporary Package,Hand Marking TP,Vendor B,21/01/2021,06/03/2021,02/03/2021,Completed,143033,142137.05,-895.95,938
PRJ-UAE-811,RAK,Road Marking at al  Barsha,  Hand Marking TP   ,Vendor B,21/01/2021,15/03/2021,11/03/2021,Completed,232341,214951.11,-17389.89,
PRJ-UAE-769,Abu Dhabi,"Automotive Precision Technology at Kizad , Abu Dhabi-UAE",Cold Marking,Vendor F,22/01/2021,23/03/2021,22/03/2021,Completed,959862,959368.86,-493.14,1185
PRJ-UAE-518,Dubai,AL WASL CLUB DUBAI,Epoxy Floor Coating System,Vendor G,22/01/2021,26/02/2021,06/03/2021,Completed,2303407,2512884.69,209477.69,1750
PRJ-UAE-115,RAK,Festival City,Cold Marking,Vendor E,23/01/2021,14/03/2021,20/03/2021,Completed,120009,115266.9,-4742.1,1282
PRJ-UAE-791,RAK,Wadl Al Amaradi Project,Cleaning,Vendor F,24/01/2021,11/04/2021,18/04/2021,Completed,,936232.02,130655.02,2785
PRJ-UAE-740,Fujairah,Shamkha Station,Hand Marking TP,Vendor A,24/01/2021,24/04/2021,19/05/2021,Completed,280483,258824.63,-21658.37,153
PRJ-UAE-238,Al Ain,Al Saad - Al Ain Station,Cold Marking,Vendor B,24/01/2021,30/03/2021,05/04/2021,Completed,1214173,1170899.83,-43273.17,1819
PRJ-UAE-680,Abu Dhabi,120-1013-American Community School - Abu Dhabi,Maintenance,Vendor E,25/01/2021,09/03/2021,01/04/2021,Completed,1210671,1230572.21,19901.21,2509
PRJ-UAE-366,Sharjah,Victoria International School - Plot No.316 at Al Tawi Hamded - Maleeha -  Sharjah,Epoxy Floor Coating System,Vendor D,25/01/2021,17/03/2021,06/04/2021,Completed,1023350,1024954.66,1604.66,1479
PRJ-UAE-761,Sharjah,"R1588 - COMPLETION OF INTERNAL ROADS IN AL YARMOUK, KHORFAKKAN",  Premarking   ,Vendor E,26/01/2021,26/04/2021,21/05/2021,Completed,1395891,1404869.4,8978.4,1758
PRJ-UAE-895,Abu Dhabi,Bus Stop Marking - Saadiyath - Abu Dhabi,Machine Marking TP,Vendor A,26/01/2021,10/02/2021,07/03/2021,Completed,1185474,1215262.93,29788.93,1615
PRJ-UAE-766,Abu Dhabi,"ADNOC Ruwais,Abu Dhabi",Epoxy Floor Coating System,Vendor E,27/01/2021,15/03/2021,27/03/2021,Completed,925904,1091743.57,165839.57,2581
PRJ-UAE-739,Dubai,Road Marking & Sand Blasting Works at Al Tawar Dubai,Machine Marking TP,Vendor D,29/01/2021,09/04/2021,23/04/2021,Completed,2159633,1990755.81,-168877.19,2750
PRJ-UAE-788,Fujairah,Design and Build of Fujairah International Airport Expansion Program,Sand Blasting,Vendor F,29/01/2021,26/03/2021,25/03/2021,Completed,913612,910220.42,-3391.58,2215
PRJ-UAE-834,Ajman,P172-MTQ Engineering Project - ICAD,Premarking,Vendor B,02/02/2021,12/03/2021,24/03/2021,Completed,583785,580217.54,-3567.46,1254
PRJ-UAE-570,Sharjah,"Road marking works at Al Jada, Sharjah- UAE",Maintenance,Vendor F,02/02/2021,09/03/2021,08/03/2021,Completed,834639,785812.04,-48826.96,162
PRJ-UAE-695,Dubai,DAS019/23-Dubai Airshow 2019-Miscellaneous Works,Premarking,Vendor B,02/02/2021,19/04/2021,26/04/2021,Completed,1903069,1955225.05,52156.05,1288
PRJ-UAE-169,Abu Dhabi,"Zonescope, Musaffah - Abu Dhabi",Premarking,Vendor C,02/02/2021,02/04/2021,15/04/2021,Completed,1013903,1028236.68,14333.68,2439
PRJ-UAE-818,Dubai,Road marking Works at Dubai Harbor -UAE,Cold Marking,Vendor A,03/02/2021,05/03/2021,25/03/2021,Completed,2449162,3008202.16,559040.16,687
PRJ-UAE-545,RAK,"Road Marking At Al Jazeera,RAK",Premarking,Vendor C,04/02/2021,12/03/2021,20/03/2021,Completed,877079,998944.68,121865.68,965
PRJ-UAE-281,Dubai,"Supply, construction, testing and commissioning of complete infrastructure (Roads and utilities )Works to Frond O Frond P at  Palm Jabel Ali Development (Fronds and spine  District),Dubai,UAE",Sand Blasting,Vendor C,05/02/2021,21/02/2021,02/03/2021,Completed,1117945,1041690.1,-76254.9,397
PRJ-UAE-866,RAK,Acadamy city,Sand Blasting,Vendor D,05/02/2021,17/03/2021,06/04/2021,Completed,798290,1504265.3,705975.3,1857
PRJ-UAE-477,Dubai,"Community Facility Mira Reem Al Yalayis, Dubai - UAE",Hand Marking TP,Vendor G,05/02/2021,22/04/2021,18/04/2021,Completed,1230249,1293397.33,63148.33,1316
PRJ-UAE-547,Abu Dhabi,Blue Island Marking in Al Hudayriyat Island (West) Marsana Ext. Abu Dhabi,Epoxy Floor Coating System,Vendor C,06/02/2021,06/05/2021,13/05/2021,Completed,,2130448.81,-17401.19,1449
PRJ-UAE-109,RAK,"Proposed Ground only Commercial Center on Plot No. 282-3301, Al Khawaneej",Maintenance,Vendor F,06/02/2021,06/03/2021,19/03/2021,Completed,543037,552763.99,9726.99,1728
PRJ-UAE-649,Sharjah,"Contract R1587 Internal Roads in Tuwi Maitha Residential, Sharjah-UAE",Maintenance,Vendor B,07/02/2021,06/04/2021,28/04/2021,Completed,602796,584049.95,-18746.05,277
PRJ-UAE-785,Dubai,ROAD MARKING IN JEBEL ALI,Hand Marking TP,Vendor F,08/02/2021,28/04/2021,28/04/2021,Completed,1824616,1789355.92,-35260.08,167
PRJ-UAE-531,Abu Dhabi,Speed Hump Marking at Abu Dhabi,Maintenance,Vendor G,09/02/2021,21/03/2021,27/03/2021,Completed,937484,1124812.8,187328.8,2751
PRJ-UAE-810,Abu Dhabi,"C042 - CICPA Car Parking at Ghayathy City, Abu Dhabi",Sand Blasting,Vendor E,10/02/2021,29/04/2021,20/05/2021,Completed,1452083,1530167.78,78084.78,1433
PRJ-UAE-816,Abu Dhabi,"Refurbishment of Existing Building and Construction of New Buildings for Astra Polymers at Kizad, Abu Dhabi, U.A.E.",Premarking,Vendor F,12/02/2021,07/05/2021,15/05/2021,Completed,2092913,2598434.6,505521.6,1179
PRJ-UAE-689,Dubai,Flydubai Parking at Terminal 2,Sand Blasting,Vendor G,13/02/2021,13/04/2021,04/05/2021,Completed,2000505,1864687.26,-135817.74,954
PRJ-UAE-430,RAK,AL Sayukh Nazwi Road,Hand Marking TP,Vendor A,13/02/2021,22/03/2021,21/03/2021,Completed,778804,726350.24,-52453.76,2043
PRJ-UAE-653,Abu Dhabi,"Road Marking Habshan,Abu Dhabi",Maintenance,Vendor B,13/02/2021,15/04/2021,25/04/2021,Completed,2297584,2286925.31,-10658.69,1224
PRJ-UAE-655,Abu Dhabi,10221000000 Package 13C Abu Dhabi,Sand Blasting,Vendor B,14/02/2021,23/03/2021,08/04/2021,Completed,2267650,2170644.83,-97005.17,1112
PRJ-UAE-363,Ajman,R852 Roads in Muhaisnah-2.,Premarking,Vendor C,14/02/2021,03/05/2021,01/05/2021,Completed,531284,517214.98,-14069.02,688
PRJ-UAE-180,Dubai,"183-PROPOSED AIRSIDE NEW FENCE AND NEW DIVERSION ROAD, DWC Airport-Dubai",Machine Marking TP,Vendor C,15/02/2021,07/04/2021,27/04/2021,Completed,2293218,2238828.22,-54389.78,2200
PRJ-UAE-245,Ajman,Improvement of Al Rashidiya Intersection - Sheikh Rashid Bin Humaid Road,Maintenance,Vendor F,15/02/2021,22/04/2021,21/04/2021,Completed,613882,624725.48,10843.48,532
PRJ-UAE-440,Dubai,"Road Marking works at The Peninsula Business Bay, Dubai -UAE",Premarking,Vendor D,16/02/2021,14/04/2021,14/04/2021,Completed,938324,927565.76,-10758.24,2243
PRJ-UAE-467,UAQ,Road Marking at Sofitel Parking Slots,Premarking,Vendor C,16/02/2021,23/04/2021,22/04/2021,Completed,862778,918320.01,55542.01,152
PRJ-UAE-244,Sharjah,Road Marking in Sharjah Mosque,Sand Blasting,Vendor A,17/02/2021,18/05/2021,18/05/2021,Completed,1380138,1670529.85,290391.85,1175
PRJ-UAE-565,Al Ain,"Construction/Rehabilitation, Land Expansion & Maintenance of Ruler's Representative Court -Al Dhafra Madinat Zayid-Al Dhafra Region- Abu Dhabi",Machine Marking TP,Vendor G,17/02/2021,15/03/2021,26/03/2021,Completed,504864,543487.41,38623.41,832
PRJ-UAE-143,Sharjah,Khorfakkan Sports Club Parking Works,Cold Marking,Vendor C,17/02/2021,27/03/2021,10/04/2021,Completed,1479285,1458025.83,-21259.17,425
PRJ-UAE-232,al ain,Calidus Factory in Al Ain Project.,Hand Marking TP,Vendor E,18/02/2021,19/05/2021,31/05/2021,Completed,1101346,1234769.1,133423.1,1993
PRJ-UAE-290,RAK,Construction Of Umm  Eselay Adnoc Service Station,Maintenance,Vendor E,20/02/2021,23/04/2021,03/05/2021,Completed,461294,560712.25,99418.25,2698
PRJ-UAE-475,Abu Dhabi,"Warner Bros Hotel, Yas Island - Abu Dhabi",Maintenance,Vendor D,21/02/2021,17/05/2021,13/05/2021,Completed,2258681,2085272.77,-173408.23,809
PRJ-UAE-763,Dubai,R-881/2A2-1 Comprehensive Improvements of Parallel Roads,Maintenance,Vendor A,21/02/2021,13/03/2021,24/03/2021,Completed,2065129,2451998.51,386869.51,883
PRJ-UAE-674,Abu Dhabi,"J756 Public Realm &Landscape Construction works for Package 1-Cultural District, Abu Dhabi,UAE",Cold Marking,Vendor D,21/02/2021,17/03/2021,03/04/2021,Completed,1444928,1476172.54,31244.54,1942
PRJ-UAE-564,Dubai,DMC 1025 DXB Emergency Proposed Speed Hump at Madinat Dubai Al Melaheyah,Sand Blasting,Vendor C,21/02/2021,03/05/2021,28/05/2021,Completed,645506,669214.01,23708.01,1046
PRJ-UAE-588,Sharjah,"Development of Plot No.4644 at Al Tay Area, Sharjah",Hand Marking TP,Vendor F,22/02/2021,27/03/2021,24/03/2021,Completed,1310517,1479266.64,168749.64,260
PRJ-UAE-287,Abu Dhabi,"Road marking works at Al Salam Street, Abu Dhabi - UAE",Cleaning,Vendor F,22/02/2021,05/04/2021,10/04/2021,Completed,1688938,2001347.23,312409.23,780
PRJ-UAE-769,Dubai,VARIOUS PROJECTS OF DUBAI,Premarking,Vendor D,23/02/2021,15/04/2021,15/04/2021,Completed,1187349,1139710.82,-47638.18,796
PRJ-UAE-471,Sharjah,"DJ-547, Nasma Residences Roads & Infrastucture Works, Sharjah",Machine Marking TP,Vendor G,25/02/2021,18/03/2021,18/03/2021,Completed,1386308,1306602.5,-79705.5,1236
PRJ-UAE-386,Dubai,Road Marking at Al Safa Dubai,Cold Marking,Vendor D,25/02/2021,09/04/2021,30/04/2021,Completed,950456,874807.4,-75648.6,1882
PRJ-UAE-422,Sharjah,"R 1581 Internal Roads for Al Hassiah Dhaid, Sharjah - UAE",Cold Marking,Vendor B,28/02/2021,23/03/2021,09/04/2021,Completed,1184390,1233941.64,49551.64,604
PRJ-UAE-760,Ajman,Al Quoaa - Al Wagon Service Station,Hand Marking TP,Vendor B,28/02/2021,19/05/2021,18/05/2021,Completed,390048,359449.79,-30598.21,2193
PRJ-UAE-133,RAK,Madinat Zayed Camel Race Track - Western Region,Maintenance,Vendor C,01/03/2021,28/05/2021,28/05/2021,Completed,592510,602543.52,10033.52,1303
PRJ-UAE-534,Abu Dhabi,"Temporary Arena Car Park Package 2, Yas South Development,Abu Dhabi",Hand Marking TP,Vendor A,01/03/2021,04/04/2021,25/04/2021,Completed,1979833,2210306.79,230473.79,764
PRJ-UAE-844,Ajman,"(J&P) Construction of Hotel,appartment Bldg A,B",Machine Marking TP,Vendor G,02/03/2021,26/04/2021,02/05/2021,Completed,228380,278313.88,49933.88,227
PRJ-UAE-321,Dubai,Parking Area Marking at Al Twar - Dubai,Cleaning,Vendor G,02/03/2021,20/04/2021,01/05/2021,Completed,2143219,2132002.32,-11216.68,1885
PRJ-UAE-819,Sharjah,: Contract No. 302-181 Construction of Sharjah Central Route Stormwater Drainage System (Package 2),Machine Marking TP,Vendor E,03/03/2021,30/04/2021,27/04/2021,Completed,358758,353179.32,-5578.68,2070
PRJ-UAE-688,Ajman,Etihad Rail Stage 2 - Package 2B,Machine Marking TP,Vendor D,04/03/2021,30/04/2021,30/04/2021,Completed,508371,490367.01,-18003.99,524
PRJ-UAE-247,Abu Dhabi,"Construction of Staff Accommodation Units SAU and Support Facilities at Al Ruwais, Abu Dhabi",Machine Marking TP,Vendor A,06/03/2021,10/04/2021,26/04/2021,Completed,1335655,1541932.27,206277.27,611
PRJ-UAE-312,Dubai,Upgrading of Marina Mall Luxury Area,Cleaning,Vendor B,06/03/2021,02/06/2021,31/05/2021,Completed,2488530,2401783.61,-86746.39,490
PRJ-UAE-736,RAK,Road Markings at Ras Al Khaimah,Cold Marking,Vendor F,06/03/2021,29/05/2021,25/05/2021,Completed,920059,928456.2,8397.2,1464
PRJ-UAE-428,Abu Dhabi,"Handicap Parking at Yas Island,Abu Dhabi",Cold Marking,Vendor B,06/03/2021,02/05/2021,21/05/2021,Completed,648598,800709.42,152111.42,2145
PRJ-UAE-848,Sharjah,R 1779  Main Roads In Al Ghail Area In Kalba,Machine Marking TP,Vendor B,07/03/2021,30/03/2021,29/03/2021,Completed,1008281,1037826.57,29545.57,1803
PRJ-UAE-391,Abu Dhabi,"Ghadan 21-Quick Win Wave 1 Project, Delma Street, Abu Dhabi",Cold Marking,Vendor C,08/03/2021,04/05/2021,26/05/2021,Completed,2012263,1948833.36,-63429.64,2561
PRJ-UAE-829,Ajman,Internal Road Marking And Parking Marking,Maintenance,Vendor C,08/03/2021,05/05/2021,05/05/2021,Completed,561875,677634.16,115759.16,1108
PRJ-UAE-736,Dubai,"Sand Balsting &  Road Marking Works at Dubai civil aviation security center, Al twar, near terminal -2 , Dubai-UAE",Cleaning,Vendor D,08/03/2021,26/04/2021,01/05/2021,Completed,1638922,1544871.21,-94050.79,1483
PRJ-UAE-169,Dubai,DUBAI TRADE CENTER  (WITHOUT MATERIALS)AT RASAL KHAIMA,Cold Marking,Vendor C,09/03/2021,30/04/2021,26/04/2021,Completed,1723274,1656826.04,-66447.96,852
PRJ-UAE-530,Dubai,Dubai Block 01 Working Shed,Maintenance,Vendor D,09/03/2021,15/04/2021,05/05/2021,Completed,1667414,1558688.11,-108725.89,2740
PRJ-UAE-786,RAK,Etihad Rail Projects - Azan RAK,Cleaning,Vendor G,10/03/2021,07/05/2021,16/05/2021,Completed,158278,149294.16,-8983.84,973
PRJ-UAE-557,Ajman,Sila Ladies Club - Musanda,Cleaning,Vendor B,10/03/2021,25/04/2021,20/05/2021,Completed,324370,299088.22,-25281.78,1309
PRJ-UAE-471,Sharjah,"DJ-547, Nasma Residences Roads & Infrastucture Works, Sharjah",Maintenance,Vendor A,17/03/2021,06/04/2021,22/04/2021,Completed,1162083,1435038.03,272955.03,
PRJ-UAE-246,Dubai,"Road Marking Works at Toyota Showroom,  DFC-Dubai-UAE",Maintenance,Vendor B,18/03/2021,03/04/2021,25/04/2021,Completed,1125773,1283822.65,158049.65,2366
PRJ-UAE-550,Sharjah,"Construction Of Al Madina water Storage Reservoirs phase -2, Sharjah-UAE",Maintenance,Vendor D,18/03/2021,13/05/2021,09/05/2021,Completed,1138806,1169915.69,31109.69,1190
PRJ-UAE-305,Dubai,"Final Design For External Accesses For Residential And Commercial Building On Plot No. 1340958 at Al Mamzar, Dubai",Machine Marking TP,Vendor E,20/03/2021,17/04/2021,15/04/2021,Completed,1751100,1685208.73,-65891.27,1819
PRJ-UAE-238,Abu Dhabi,Saadiyat Marina District NYU Precint Phase 2 - Abu Dhabi - UAE,Maintenance,Vendor A,21/03/2021,12/06/2021,11/06/2021,Completed,2362760,2488695.16,125935.16,532
PRJ-UAE-177,Abu Dhabi,Road Marking at Liwa - Abu Dhabi,Cold Marking,Vendor E,22/03/2021,22/04/2021,17/05/2021,Completed,1632621,1730763.96,98142.96,1467
PRJ-UAE-727,Abu Dhabi,Zayed National Museum Abu Dhabi-UAE,Machine Marking TP,Vendor C,22/03/2021,07/06/2021,25/06/2021,Completed,1981902,1941864.13,-40037.87,1832
PRJ-UAE-815,Sharjah,"Contract R910/B Bridge to Al-Hisn Island, Sharjah-UAE",Machine Marking TP,Vendor G,23/03/2021,24/05/2021,28/05/2021,Completed,881727,892303.93,10576.93,1650
PRJ-UAE-410,Dubai,"Gems First Point School (FPSS) Solar Project Wadi Al Safa 5th, Dubai -UAE",Premarking,Vendor C,23/03/2021,26/05/2021,22/05/2021,Completed,1001451,1962634.04,961183.04,895
PRJ-UAE-449,Dubai,R1050 Ras Al Khor Development on Plot No. 614-0283 Master Plan - Dubai,Cleaning,Vendor C,23/03/2021,30/04/2021,06/05/2021,Completed,2321538,2231849.62,-89688.38,2336
PRJ-UAE-160,Ajman,Etihad Rail - ICAD IV Access Road to Allocated Land,Machine Marking TP,Vendor G,23/03/2021,24/04/2021,14/05/2021,Completed,549821,531860.52,-17960.48,1672
PRJ-UAE-338,Ajman,HATTA,Cleaning,Vendor E,24/03/2021,03/05/2021,03/05/2021,Completed,738312,901918.45,163606.45,187
PRJ-UAE-439,RAK,Proposed Residential Building at Wadi Al Safa 5,Epoxy Floor Coating System,Vendor D,25/03/2021,07/06/2021,05/06/2021,Completed,669653,820183.76,150530.76,1024
PRJ-UAE-558,Abu Dhabi,L & TPC JV 2F2 ICAD-IV Road Tie in Work - Abu Dhabi,Cleaning,Vendor E,26/03/2021,15/05/2021,11/05/2021,Completed,1943290,1927378.47,-15911.53,1955
PRJ-UAE-541,Abu Dhabi,"Mockup Work at Khalifa City, Abu Dhabi",Premarking,Vendor C,27/03/2021,20/06/2021,13/07/2021,Completed,1678532,1581159.23,-97372.77,2739
PRJ-UAE-213,Dubai,Jebel Ali Shooting Club,Cleaning,Vendor E,28/03/2021,25/04/2021,19/05/2021,Completed,1738039,1997405.33,259366.33,2672
PRJ-UAE-451,Sharjah,R 1466 Proposed Road & Parking for Family Development Center in Al Dhaid,Premarking,Vendor F,30/03/2021,02/06/2021,27/06/2021,Completed,1034811,1128121.72,93310.72,2618
PRJ-UAE-414,Abu Dhabi,ADNOC Station MBZ 01 - Abu Dhabi,Machine Marking TP,Vendor F,31/03/2021,06/06/2021,04/06/2021,Completed,1263991,1237120.1,-26870.9,1012
PRJ-UAE-207,Dubai,"Road Marking works at Galadari Motor Driving Centre, Al-Qusais - Dubai UAE",Cold Marking,Vendor D,31/03/2021,03/06/2021,03/06/2021,Completed,1282871,1498014.95,215143.95,1078
PRJ-UAE-779,Dubai,Dubai Harbor Landscape,Machine Marking TP,Vendor D,31/03/2021,06/05/2021,14/05/2021,Completed,2413132,2882721.77,469589.77,1412
PRJ-UAE-381,Abu Dhabi,Al Forsan Khalifa Project,Hand Marking TP,Vendor G,01/04/2021,16/05/2021,06/06/2021,Completed,2024680,2428150.8,403470.8,2393
PRJ-UAE-796,,"Road Marking at Bin Yaber Driving Institute, Dubai-UAE",Epoxy Floor Coating System,Vendor G,02/04/2021,06/05/2021,02/05/2021,Completed,797102,751297.64,-45804.36,2492
PRJ-UAE-752,Dubai,"Road Marking & Sand Blasting Works at Latifa Hospital , Dubai-UAE",Epoxy Floor Coating System,Vendor B,02/04/2021,20/05/2021,19/05/2021,Completed,1422202,1321834.08,-100367.92,1944
PRJ-UAE-774,Dubai,"Road marking for the parking areas at Nad Al Sheba, Dubai",Maintenance,Vendor D,02/04/2021,20/05/2021,18/05/2021,Completed,1460300,1522698.35,62398.35,550
PRJ-UAE-556,Abu Dhabi,Sand Blasting at Abu Dhabi,Sand Blasting,Vendor E,03/04/2021,11/06/2021,09/06/2021,Completed,1222529,1163334.12,-59194.88,301
PRJ-UAE-477,Dubai,Concrete Milling at Jebel Ali,Epoxy Floor Coating System,Vendor E,03/04/2021,29/05/2021,03/06/2021,Completed,,1904953.36,-139498.64,1484
